instance,depth,alpha,seed,train_acc,val_acc,test_acc,train_time
tic-tac-toe,5,0.1,37,0.659707724,0.635983264,0.658333333,609.0599296
spect,5,0.0,37,0.872180451,0.71641791,0.805970149,602.6535225
spect,5,0.01,37,0.789473684,0.76119403,0.835820896,602.3378057
spect,5,0.1,37,0.789473684,0.76119403,0.835820896,5.08643651
soybean-small,5,0.0,37,1.0,0.75,0.916666667,1.799158335
soybean-small,5,0.01,37,1.0,0.75,0.916666667,6.470685482
soybean-small,5,0.1,37,1.0,0.916666667,1.0,8.977490664
house-votes-84,5,0.0,37,1.0,0.913793103,0.965517241,81.51596284
house-votes-84,5,0.01,37,0.99137931,0.948275862,0.982758621,602.0273244
house-votes-84,5,0.1,37,0.974137931,0.948275862,0.982758621,6.150825739
hayes-roth,5,0.0,37,0.85,0.625,0.75,601.4492176
hayes-roth,5,0.01,37,0.7875,0.65,0.775,601.2426503
hayes-roth,5,0.1,37,0.775,0.7,0.75,601.228075
car-evaluation,5,0.0,37,0.787037037,0.791666667,0.733796296,619.1800432
car-evaluation,5,0.01,37,0.685185185,0.743055556,0.6875,612.5944402
car-evaluation,5,0.1,37,0.685185185,0.743055556,0.6875,611.7545822
breast-cancer,5,0.0,37,0.891304348,0.710144928,0.671428571,602.0512166
breast-cancer,5,0.01,37,0.804347826,0.782608696,0.7,601.9349997
breast-cancer,5,0.1,37,0.717391304,0.710144928,0.685714286,507.037832
balance-scale,5,0.0,37,0.772435897,0.673076923,0.681528662,605.924803
balance-scale,5,0.01,37,0.743589744,0.698717949,0.656050955,604.4811201
balance-scale,5,0.1,37,0.657051282,0.653846154,0.630573248,603.9622931
monks-3,2,0.0,42,0.971119134,0.949275362,0.964028777,26.99176526
monks-3,2,0.01,42,0.971119134,0.949275362,0.964028777,12.53348637
monks-3,2,0.1,42,0.971119134,0.949275362,0.964028777,5.871286631
monks-2,2,0.0,42,0.64,0.68,0.668874172,146.1664853
monks-2,2,0.01,42,0.64,0.68,0.668874172,144.8580847
monks-2,2,0.1,42,0.64,0.68,0.668874172,98.09206152
monks-1,2,0.0,42,0.791366906,0.748201439,0.762589928,39.17430377
monks-1,2,0.01,42,0.791366906,0.748201439,0.762589928,41.41716409
monks-1,2,0.1,42,0.748201439,0.73381295,0.755395683,36.35698652
tic-tac-toe,2,0.0,42,0.707724426,0.673640167,0.7125,560.8710148
tic-tac-toe,2,0.01,42,0.707724426,0.673640167,0.7125,600.5818973
tic-tac-toe,2,0.1,42,0.691022965,0.677824268,0.7375,109.19122
spect,2,0.0,42,0.857142857,0.701492537,0.701492537,2.788538456
spect,2,0.01,42,0.857142857,0.701492537,0.701492537,4.746298075
spect,2,0.1,42,0.781954887,0.746268657,0.865671642,1.925844908
soybean-small,2,0.0,42,1.0,1.0,0.916666667,0.220411539
soybean-small,2,0.01,42,1.0,1.0,0.916666667,1.0043118
soybean-small,2,0.1,42,1.0,1.0,1.0,2.546184778
house-votes-84,2,0.0,42,0.965517241,0.982758621,0.965517241,4.812124014
house-votes-84,2,0.01,42,0.965517241,0.982758621,0.965517241,4.989646196
house-votes-84,2,0.1,42,0.965517241,0.982758621,0.965517241,0.531577349
hayes-roth,2,0.0,42,0.675,0.475,0.55,14.59494328
hayes-roth,2,0.01,42,0.675,0.5,0.65,9.838670015
hayes-roth,2,0.1,42,0.6625,0.525,0.525,11.57502437
car-evaluation,2,0.0,42,0.751157407,0.800925926,0.773148148,600.8886659
car-evaluation,2,0.01,42,0.751157407,0.800925926,0.773148148,600.7867198
car-evaluation,2,0.1,42,0.6875,0.712962963,0.712962963,600.8275678
breast-cancer,2,0.0,42,0.789855072,0.68115942,0.728571429,48.71782374
breast-cancer,2,0.01,42,0.789855072,0.68115942,0.728571429,59.1985929
breast-cancer,2,0.1,42,0.695652174,0.68115942,0.757142857,22.51275158
balance-scale,2,0.0,42,0.730769231,0.692307692,0.668789809,136.2753201
balance-scale,2,0.01,42,0.730769231,0.692307692,0.668789809,265.3148777
balance-scale,2,0.1,42,0.711538462,0.679487179,0.668789809,107.5460653
monks-3,3,0.0,42,0.996389892,0.985507246,0.978417266,442.1132922
monks-3,3,0.01,42,0.971119134,0.949275362,0.964028777,600.7223175
monks-3,3,0.1,42,0.971119134,0.949275362,0.964028777,14.62885094
monks-2,3,0.0,42,0.67,0.7,0.602649007,600.8064506
monks-2,3,0.01,42,0.64,0.68,0.668874172,600.7329247
monks-2,3,0.1,42,0.64,0.68,0.668874172,600.7765574
monks-1,3,0.0,42,0.881294964,0.90647482,0.884892086,600.9782887
monks-1,3,0.01,42,0.852517986,0.870503597,0.827338129,600.7438798
monks-1,3,0.1,42,0.748201439,0.73381295,0.755395683,600.7050788
tic-tac-toe,3,0.0,42,0.741127349,0.690376569,0.8,601.7892835
tic-tac-toe,3,0.01,42,0.730688935,0.736401674,0.783333333,601.4815576
tic-tac-toe,3,0.1,42,0.691022965,0.677824268,0.7375,601.4697986
spect,3,0.0,42,0.902255639,0.71641791,0.701492537,393.7111433
spect,3,0.01,42,0.902255639,0.71641791,0.701492537,133.6003883
spect,3,0.1,42,0.781954887,0.746268657,0.865671642,1.883573294
soybean-small,3,0.0,42,1.0,1.0,1.0,0.478342533
soybean-small,3,0.01,42,1.0,1.0,0.916666667,2.083816051
soybean-small,3,0.1,42,1.0,1.0,0.833333333,2.073149681
house-votes-84,3,0.0,42,0.982758621,0.896551724,0.965517241,153.3298535
house-votes-84,3,0.01,42,0.982758621,0.896551724,0.965517241,32.51214409
house-votes-84,3,0.1,42,0.965517241,0.982758621,0.965517241,1.515716076
hayes-roth,3,0.0,42,0.85,0.575,0.8,600.24259
hayes-roth,3,0.01,42,0.85,0.575,0.8,600.2644892
hayes-roth,3,0.1,42,0.7125,0.6,0.6,600.2535272
car-evaluation,3,0.0,42,0.766203704,0.828703704,0.796296296,601.9417136
car-evaluation,3,0.01,42,0.710648148,0.726851852,0.733796296,601.9587848
car-evaluation,3,0.1,42,0.6875,0.712962963,0.712962963,602.0648069
breast-cancer,3,0.0,42,0.833333333,0.608695652,0.757142857,600.5325532
breast-cancer,3,0.01,42,0.847826087,0.768115942,0.728571429,600.3702426
breast-cancer,3,0.1,42,0.695652174,0.68115942,0.757142857,600.5560877
balance-scale,3,0.0,42,0.746794872,0.730769231,0.643312102,600.8909116
balance-scale,3,0.01,42,0.756410256,0.679487179,0.636942675,600.8218656
balance-scale,3,0.1,42,0.673076923,0.679487179,0.605095541,600.9122028
monks-3,4,0.0,42,0.996389892,0.985507246,0.978417266,602.4153056
monks-3,4,0.01,42,0.996389892,0.985507246,0.978417266,468.3822074
monks-3,4,0.1,42,0.971119134,0.949275362,0.964028777,64.24996638
monks-2,4,0.0,42,0.73,0.633333333,0.589403974,601.7416456
monks-2,4,0.01,42,0.64,0.68,0.668874172,601.690475
monks-2,4,0.1,42,0.64,0.68,0.668874172,601.7057042
monks-1,4,0.0,42,0.982014388,0.942446043,0.971223022,601.63118
monks-1,4,0.01,42,0.852517986,0.81294964,0.798561151,601.8254862
monks-1,4,0.1,42,0.748201439,0.73381295,0.755395683,601.6299293
tic-tac-toe,4,0.0,42,0.778705637,0.786610879,0.8,603.6383381
tic-tac-toe,4,0.01,42,0.745302714,0.715481172,0.795833333,603.7477772
tic-tac-toe,4,0.1,42,0.691022965,0.677824268,0.7375,604.1276817
spect,4,0.0,42,0.932330827,0.686567164,0.701492537,601.208817
spect,4,0.01,42,0.278195489,0.268656716,0.149253731,601.0530722
spect,4,0.1,42,0.7819548872180451,0.746268656716418,0.8656716417910447,3.127917528152466
soybean-small,4,0.0,42,0.9565217391304348,0.8333333333333334,0.8333333333333334,0.906618595123291
soybean-small,4,0.01,42,1.0,1.0,0.9166666666666666,6.475833892822266
soybean-small,4,0.1,42,1.0,1.0,0.9166666666666666,6.291348934173584
house-votes-84,4,0.0,42,1.0,0.9655172413793104,0.9482758620689656,40.73426938056946
house-votes-84,4,0.01,42,0.9827586206896552,0.896551724137931,0.9655172413793104,600.8819975852966
house-votes-84,4,0.1,42,0.9655172413793104,0.9827586206896552,0.9655172413793104,3.3491246700286865
hayes-roth,4,0.0,42,0.8875,0.575,0.85,600.572262763977
hayes-roth,4,0.01,42,0.9125,0.7,0.875,600.5253436565399
hayes-roth,4,0.1,42,0.7625,0.475,0.675,600.5440466403961
car-evaluation,4,0.0,42,0.7974537037037037,0.8495370370370371,0.8125,604.9523983001709
car-evaluation,4,0.01,42,0.8564814814814815,0.8773148148148148,0.8587962962962963,605.0116481781006
car-evaluation,4,0.1,42,0.6875,0.7129629629629629,0.7129629629629629,604.9507400989532
breast-cancer,4,0.0,42,0.8768115942028986,0.6666666666666666,0.7142857142857143,601.1499371528625
breast-cancer,4,0.01,42,0.855072463768116,0.7681159420289855,0.7714285714285715,600.8830652236938
breast-cancer,4,0.1,42,0.6956521739130435,0.6811594202898551,0.7571428571428571,600.9405341148376
balance-scale,4,0.0,42,0.7756410256410257,0.7243589743589743,0.6751592356687898,602.3611416816711
balance-scale,4,0.01,42,0.7724358974358975,0.7051282051282052,0.7006369426751592,602.3347775936127
balance-scale,4,0.1,42,0.6794871794871795,0.6089743589743589,0.6305732484076433,601.8259057998657
monks-3,5,0.0,42,0.9963898916967509,0.9855072463768116,0.9784172661870504,603.9263346195221
monks-3,5,0.01,42,0.9963898916967509,0.9855072463768116,0.9784172661870504,603.7707986831665
monks-3,5,0.1,42,0.9711191335740073,0.9492753623188406,0.9640287769784172,81.86772513389587
monks-2,5,0.0,42,0.7666666666666667,0.68,0.5960264900662252,604.1808559894562
monks-2,5,0.01,42,0.64,0.68,0.6688741721854304,604.2308373451233
monks-2,5,0.1,42,0.64,0.68,0.6688741721854304,605.028970003128
monks-1,5,0.0,42,0.8489208633093526,0.8273381294964028,0.7697841726618705,604.0535471439362
monks-1,5,0.01,42,1.0,1.0,1.0,603.8037266731262
monks-1,5,0.1,42,0.7482014388489209,0.7338129496402878,0.7553956834532374,603.8750054836273
tic-tac-toe,5,0.0,42,0.7620041753653445,0.6820083682008368,0.7416666666666667,609.1451954841614
tic-tac-toe,5,0.01,42,0.6910229645093946,0.6778242677824268,0.7375,608.6548693180084
tic-tac-toe,5,0.1,42,0.6910229645093946,0.6778242677824268,0.7375,609.6759476661682
spect,5,0.0,42,0.9323308270676692,0.7014925373134329,0.6865671641791045,602.7004125118256
spect,5,0.01,42,0.9172932330827068,0.7164179104477612,0.7164179104477612,602.7022354602814
spect,5,0.1,42,0.7819548872180451,0.746268656716418,0.8656716417910447,6.092786073684692
soybean-small,5,0.0,42,0.9130434782608695,0.5833333333333334,0.5833333333333334,2.605980157852173
soybean-small,5,0.01,42,1.0,1.0,1.0,7.255863428115845
soybean-small,5,0.1,42,1.0,1.0,0.9166666666666666,13.158544063568115
