instance,depth,seed,train_acc,val_acc,test_acc,train_time
car-evaluation,4,42,0.7488425925925926,0.8240740740740741,0.7893518518518519,0.000997781753540039
breast-cancer,4,42,0.7898550724637681,0.6811594202898551,0.7285714285714285,0.0
balance-scale,4,42,0.6730769230769231,0.6217948717948718,0.5796178343949044,0.0009951591491699219
monks-3,5,42,0.9711191335740073,0.9492753623188406,0.9640287769784173,0.0009968280792236328
monks-2,5,42,0.64,0.68,0.6688741721854304,0.0009996891021728516
monks-1,5,42,0.7482014388489209,0.7338129496402878,0.7553956834532374,0.0009989738464355469
tic-tac-toe,5,42,0.6910229645093946,0.6778242677824268,0.7375,0.0009968280792236328
spect,5,42,0.8571428571428571,0.7014925373134329,0.7014925373134329,0.0009992122650146484
soybean-small,5,42,0.8260869565217391,0.6666666666666666,0.6666666666666666,0.0009970664978027344
house-votes-84,5,42,0.9655172413793104,0.9827586206896551,0.9655172413793104,0.0
hayes-roth,5,42,0.5625,0.575,0.475,0.0010035037994384766
car-evaluation,5,42,0.7488425925925926,0.8240740740740741,0.7893518518518519,0.00099945068359375
breast-cancer,5,42,0.7898550724637681,0.6811594202898551,0.7285714285714285,0.000997304916381836
balance-scale,5,42,0.6730769230769231,0.6217948717948718,0.5796178343949044,0.0
monks-3,2,53,0.9675090252707581,0.9492753623188406,0.9712230215827338,0.0
monks-2,2,53,0.6466666666666666,0.72,0.6158940397350994,0.0
monks-1,2,53,0.7769784172661871,0.7338129496402878,0.697841726618705,0.0
tic-tac-toe,2,53,0.7035490605427975,0.698744769874477,0.7166666666666667,0.0
spect,2,53,0.8120300751879699,0.746268656716418,0.8059701492537313,0.0009980201721191406
soybean-small,2,53,0.8260869565217391,0.8333333333333334,0.6666666666666666,0.0009970664978027344
house-votes-84,2,53,0.9741379310344828,0.9655172413793104,0.9655172413793104,0.0009999275207519531
hayes-roth,2,53,0.5625,0.525,0.55,0.000997304916381836
car-evaluation,2,53,0.7743055555555556,0.7847222222222222,0.7777777777777778,0.0
breast-cancer,2,53,0.7971014492753623,0.7971014492753623,0.6714285714285714,0.0
balance-scale,2,53,0.6923076923076923,0.6217948717948718,0.6305732484076433,0.0
monks-3,3,53,0.9675090252707581,0.9492753623188406,0.9712230215827338,0.000982046127319336
monks-2,3,53,0.6466666666666666,0.72,0.6158940397350994,0.00099945068359375
monks-1,3,53,0.7769784172661871,0.7338129496402878,0.697841726618705,0.0009975433349609375
tic-tac-toe,3,53,0.7035490605427975,0.698744769874477,0.7166666666666667,0.0
spect,3,53,0.8120300751879699,0.746268656716418,0.8059701492537313,0.000997304916381836
soybean-small,3,53,0.8260869565217391,0.8333333333333334,0.6666666666666666,0.0
house-votes-84,3,53,0.9741379310344828,0.9655172413793104,0.9655172413793104,0.0
hayes-roth,3,53,0.5625,0.525,0.55,0.0009970664978027344
car-evaluation,3,53,0.7743055555555556,0.7847222222222222,0.7777777777777778,0.0
breast-cancer,3,53,0.7971014492753623,0.7971014492753623,0.6714285714285714,0.0
balance-scale,3,53,0.6923076923076923,0.6217948717948718,0.6305732484076433,0.0009980201721191406
monks-3,4,53,0.9675090252707581,0.9492753623188406,0.9712230215827338,0.000997304916381836
monks-2,4,53,0.6466666666666666,0.72,0.6158940397350994,0.0
monks-1,4,53,0.7769784172661871,0.7338129496402878,0.697841726618705,0.0009965896606445312
tic-tac-toe,4,53,0.7035490605427975,0.698744769874477,0.7166666666666667,0.0
spect,4,53,0.8120300751879699,0.746268656716418,0.8059701492537313,0.0009710788726806641
soybean-small,4,53,0.8260869565217391,0.8333333333333334,0.6666666666666666,0.0
house-votes-84,4,53,0.9741379310344828,0.9655172413793104,0.9655172413793104,0.0
hayes-roth,4,53,0.5625,0.525,0.55,0.0
car-evaluation,4,53,0.7743055555555556,0.7847222222222222,0.7777777777777778,0.0
breast-cancer,4,53,0.7971014492753623,0.7971014492753623,0.6714285714285714,0.0
balance-scale,4,53,0.6923076923076923,0.6217948717948718,0.6305732484076433,0.0
monks-3,5,53,0.9675090252707581,0.9492753623188406,0.9712230215827338,0.0
monks-2,5,53,0.6466666666666666,0.72,0.6158940397350994,0.0
monks-1,5,53,0.7769784172661871,0.7338129496402878,0.697841726618705,0.0009980201721191406
tic-tac-toe,5,53,0.7035490605427975,0.698744769874477,0.7166666666666667,0.0
spect,5,53,0.8120300751879699,0.746268656716418,0.8059701492537313,0.0
soybean-small,5,53,0.8260869565217391,0.8333333333333334,0.6666666666666666,0.0009968280792236328
house-votes-84,5,53,0.9741379310344828,0.9655172413793104,0.9655172413793104,0.0
hayes-roth,5,53,0.5625,0.525,0.55,0.0
car-evaluation,5,53,0.7743055555555556,0.7847222222222222,0.7777777777777778,0.0
breast-cancer,5,53,0.7971014492753623,0.7971014492753623,0.6714285714285714,0.0009968280792236328
balance-scale,5,53,0.6923076923076923,0.6217948717948718,0.6305732484076433,0.0009963512420654297
