instance,depth,alpha,seed,train_acc,val_acc,test_acc,train_time,gap
breast-cancer,3,0.0,42,0.8478260869565217,0.6521739130434783,0.8,600.26029920578,0.0495726495726504
breast-cancer,3,0.01,42,0.8478260869565217,0.6521739130434783,0.7428571428571429,600.1631970405579,0.0750174644642982
breast-cancer,3,0.1,42,0.6956521739130435,0.6811594202898551,0.7571428571428571,5.415522336959839,0.0
breast-cancer,3,0.0,53,0.855072463768116,0.7536231884057971,0.6285714285714286,600.461925983429,0.0296610169491509
breast-cancer,3,0.01,53,0.8260869565217391,0.6956521739130435,0.6714285714285714,600.2277555465698,0.0599177278463367
breast-cancer,3,0.1,53,0.7391304347826086,0.7536231884057971,0.6,1.949787855148316,0.0
breast-cancer,4,0.0,37,0.8768115942028986,0.6956521739130435,0.7571428571428571,600.2815659046173,0.1404958497907177
breast-cancer,4,0.01,37,0.8478260869565217,0.7536231884057971,0.7571428571428571,600.1825032234192,0.2170876121750396
breast-cancer,4,0.1,37,0.717391304347826,0.7101449275362319,0.6857142857142857,3.937366724014282,0.0
breast-cancer,4,0.0,42,0.8985507246376812,0.7101449275362319,0.7,600.2402217388153,0.1129031201430192
breast-cancer,4,0.01,42,0.8260869565217391,0.6666666666666666,0.7857142857142857,600.1979722976685,0.2021251985717637
breast-cancer,4,0.1,42,0.6956521739130435,0.6811594202898551,0.7571428571428571,6.126633882522583,0.0
breast-cancer,4,0.0,53,0.8840579710144928,0.7246376811594203,0.6714285714285714,600.218133687973,0.1311475232992386
breast-cancer,4,0.01,53,0.8260869565217391,0.7971014492753623,0.6857142857142857,600.2232141494751,0.1926436009405422
breast-cancer,4,0.1,53,0.7391304347826086,0.7536231884057971,0.6,3.918622493743897,0.0
breast-cancer,5,0.0,37,0.8985507246376812,0.6521739130434783,0.7428571428571429,600.3045654296875,0.1129032172472002
breast-cancer,5,0.01,37,0.8260869565217391,0.782608695652174,0.6571428571428571,600.1821691989899,0.254242081447964
breast-cancer,5,0.1,37,0.717391304347826,0.7101449275362319,0.6857142857142857,4.42162036895752,0.0
breast-cancer,5,0.0,42,0.9130434782608696,0.6376811594202898,0.7857142857142857,600.1951031684875,0.0952380952380966
breast-cancer,5,0.01,42,0.8260869565217391,0.7536231884057971,0.7285714285714285,600.1214110851288,0.2396716041850281
breast-cancer,5,0.1,42,0.6956521739130435,0.6811594202898551,0.7571428571428571,6.769076585769653,0.0
breast-cancer,5,0.0,53,0.9202898550724636,0.7246376811594203,0.6857142857142857,600.2571923732758,0.086614167929585
breast-cancer,5,0.01,53,0.7971014492753623,0.7971014492753623,0.6714285714285714,600.1919460296631,0.23019387522444
breast-cancer,5,0.1,53,0.7391304347826086,0.7536231884057971,0.6,4.200763463973999,0.0
car-evaluation,2,0.0,37,0.7951388888888888,0.7662037037037037,0.7546296296296297,21.819228649139404,0.0
car-evaluation,2,0.01,37,0.7951388888888888,0.7662037037037037,0.7546296296296297,32.69321632385254,0.0
car-evaluation,2,0.1,37,0.6851851851851852,0.7430555555555556,0.6875,11.454467296600342,0.0
car-evaluation,2,0.0,42,0.7511574074074074,0.8009259259259259,0.7731481481481481,64.13318586349487,0.0
car-evaluation,2,0.01,42,0.7511574074074074,0.8009259259259259,0.7731481481481481,94.69944071769714,0.0
car-evaluation,2,0.1,42,0.6875,0.7129629629629629,0.7129629629629629,10.53537654876709,0.0
car-evaluation,2,0.0,53,0.78125,0.7453703703703703,0.7685185185185185,27.78601789474488,0.0
car-evaluation,2,0.01,53,0.78125,0.7453703703703703,0.7685185185185185,70.08597135543823,0.0
car-evaluation,2,0.1,53,0.7106481481481481,0.6967592592592593,0.6828703703703703,10.76282548904419,0.0
car-evaluation,3,0.0,37,0.8217592592592593,0.8055555555555556,0.7962962962962963,600.0805113315582,0.1499071951086407
car-evaluation,3,0.01,37,0.8182870370370371,0.7939814814814815,0.7916666666666666,600.0605328083038,0.1404445476176582
car-evaluation,3,0.1,37,0.6851851851851852,0.7430555555555556,0.6875,69.63010120391846,0.0
car-evaluation,3,0.0,42,0.78125,0.8171296296296297,0.7870370370370371,600.068609714508,0.1925925925926121
car-evaluation,3,0.01,42,0.7962962962962963,0.8101851851851852,0.8194444444444444,600.0554521083832,0.1657663627247665
car-evaluation,3,0.1,42,0.6875,0.7129629629629629,0.7129629629629629,65.40032052993774,0.0
car-evaluation,3,0.0,53,0.8171296296296297,0.7916666666666666,0.7962962962962963,600.0499353408813,0.1839235127478744
car-evaluation,3,0.01,53,0.8078703703703703,0.7893518518518519,0.8009259259259259,600.0887863636017,0.1650098153376035
car-evaluation,3,0.1,53,0.7106481481481481,0.6967592592592593,0.6828703703703703,60.8430323600769,0.0
car-evaluation,4,0.0,37,0.8240740740740741,0.8125,0.7708333333333334,600.2752318382263,0.2134831460674215
car-evaluation,4,0.01,37,0.8217592592592593,0.8055555555555556,0.7962962962962963,600.0903370380402,0.2223804395969848
car-evaluation,4,0.1,37,0.6851851851851852,0.7430555555555556,0.6875,64.22145462036133,0.0
car-evaluation,4,0.0,42,0.8101851851851852,0.8240740740740741,0.8333333333333334,600.1436500549316,0.2342857106745676
car-evaluation,4,0.01,42,0.8101851851851852,0.8240740740740741,0.8333333333333334,600.1571297645569,0.2477722288527728
car-evaluation,4,0.1,42,0.6875,0.7129629629629629,0.7129629629629629,216.6668574810028,0.0
car-evaluation,4,0.0,53,0.8298611111111112,0.7962962962962963,0.8171296296296297,600.4365844726562,0.2050209185008691
car-evaluation,4,0.01,53,0.8090277777777778,0.7962962962962963,0.8078703703703703,600.2542202472687,0.2432016490450701
car-evaluation,4,0.1,53,0.7106481481481481,0.6967592592592593,0.6828703703703703,55.89369320869446,0.0
car-evaluation,5,0.0,37,0.8321759259259259,0.8240740740740741,0.8240740740740741,600.4514312744141,0.201668980657507
car-evaluation,5,0.01,37,0.7951388888888888,0.7662037037037037,0.7546296296296297,600.4634511470795,0.2485908547448627
car-evaluation,5,0.1,37,0.6851851851851852,0.7430555555555556,0.6875,262.4505362510681,0.0
car-evaluation,5,0.0,42,0.7858796296296297,0.8379629629629629,0.7962962962962963,600.5720126628876,0.2724594973446477
car-evaluation,5,0.01,42,0.7962962962962963,0.8101851851851852,0.8194444444444444,600.442177772522,0.2585741164541898
car-evaluation,5,0.1,42,0.6875,0.7129629629629629,0.7129629629629629,174.0138771533966,0.0
car-evaluation,5,0.0,53,0.7928240740740741,0.7569444444444444,0.7731481481481481,600.440379858017,0.2613138686131357
car-evaluation,5,0.01,53,0.7939814814814815,0.8287037037037037,0.8055555555555556,600.1416733264923,0.2695165749836759
car-evaluation,5,0.1,53,0.7106481481481481,0.6967592592592593,0.6828703703703703,90.8650496006012,0.0
hayes-roth,2,0.0,37,0.675,0.5,0.65,1.04819917678833,0.0
hayes-roth,2,0.01,37,0.675,0.5,0.65,0.7509922981262207,0.0
hayes-roth,2,0.1,37,0.6375,0.5,0.625,1.0960702896118164,0.0
hayes-roth,2,0.0,42,0.675,0.5,0.625,0.8267898559570312,0.0
hayes-roth,2,0.01,42,0.675,0.5,0.65,1.0142881870269775,0.0
