instance,depth,seed,train_acc,val_acc,test_acc,train_time,gap
car-evaluation,5,37,0.8298611111111112,0.8402777777777778,0.8032407407407407,615.3691148757935,1.0
car-evaluation,5,42,0.8344907407407407,0.8425925925925926,0.8287037037037037,611.5830554962158,1.0
car-evaluation,5,53,0.8541666666666666,0.8263888888888888,0.8379629629629629,612.4775185585022,1.0
hayes-roth,2,37,0.65,0.475,0.65,2.20510482788086,0.0
hayes-roth,2,42,0.4875,0.4,0.45,2.546194076538086,0.0
hayes-roth,2,53,0.675,0.625,0.55,2.5451955795288086,0.0
hayes-roth,3,37,0.7,0.7,0.575,601.1109611988068,0.5789473387628651
hayes-roth,3,42,0.85,0.575,0.8,416.7763319015503,0.0
hayes-roth,3,53,0.8,0.675,0.725,600.7151877880096,0.3124999892578122
hayes-roth,4,37,0.5,0.275,0.55,601.2501971721649,1.0
hayes-roth,4,42,0.9375,0.575,0.8,600.5481021404266,1.0
hayes-roth,4,53,0.6,0.65,0.575,600.7737891674042,1.0
hayes-roth,5,37,0.4875,0.35,0.525,602.1622724533081,1.0
hayes-roth,5,42,0.725,0.5,0.65,601.408326625824,1.0
hayes-roth,5,53,0.725,0.625,0.45,601.9275100231171,1.0
house-votes-84,2,37,0.9741379310344828,0.9482758620689656,0.9827586206896552,1.0033190250396729,0.0
house-votes-84,2,42,0.9655172413793104,0.9655172413793104,0.9482758620689656,1.85512924194336,0.0
house-votes-84,2,53,0.9741379310344828,0.9655172413793104,0.9655172413793104,1.111111402511597,0.0
house-votes-84,3,37,0.9913793103448276,0.9310344827586208,0.9827586206896552,343.5392863750458,0.0
house-votes-84,3,42,0.9827586206896552,0.896551724137931,0.9655172413793104,600.8548917770386,0.9999999999999988
house-votes-84,3,53,0.9913793103448276,0.9655172413793104,0.9655172413793104,600.5593709945679,0.9813084110990652
house-votes-84,4,37,1.0,0.896551724137931,0.9310344827586208,8.93610405921936,0.0
house-votes-84,4,42,0.9913793103448276,1.0,0.9655172413793104,601.065819978714,1.0
house-votes-84,4,53,1.0,0.8620689655172413,0.8793103448275862,3.6000921726226807,0.0
house-votes-84,5,37,1.0,0.913793103448276,0.9655172413793104,5.534389495849609,0.0
house-votes-84,5,42,1.0,0.896551724137931,0.9482758620689656,7.55802583694458,0.0
house-votes-84,5,53,1.0,0.896551724137931,0.9655172413793104,6.7112109661102295,0.0
soybean-small,2,37,1.0,0.6666666666666666,0.9166666666666666,0.1848185062408447,0.0
soybean-small,2,42,1.0,1.0,1.0,0.3569512367248535,0.0
soybean-small,2,53,1.0,1.0,1.0,0.4449937343597412,0.0
soybean-small,3,37,1.0,0.3333333333333333,0.8333333333333334,0.2797079086303711,0.0
soybean-small,3,42,1.0,1.0,1.0,0.2880237102508545,0.0
soybean-small,3,53,0.391304347826087,0.5,0.4166666666666667,0.3224079608917236,0.0
soybean-small,4,37,0.782608695652174,1.0,0.5833333333333334,0.7889747619628906,0.0
soybean-small,4,42,1.0,1.0,1.0,0.7882423400878906,0.0
soybean-small,4,53,0.9565217391304348,0.8333333333333334,0.9166666666666666,0.6703813076019287,0.0
soybean-small,5,37,1.0,1.0,0.9166666666666666,1.6034832000732422,0.0
soybean-small,5,42,0.6086956521739131,0.5833333333333334,0.75,2.1194751262664795,0.0
soybean-small,5,53,0.6956521739130435,0.5833333333333334,0.5,1.8016624450683596,0.0
spect,2,37,0.7894736842105263,0.7611940298507462,0.835820895522388,13.05594563484192,0.0
spect,2,42,0.8571428571428571,0.7014925373134329,0.7014925373134329,1.32100510597229,0.0
spect,2,53,0.8120300751879699,0.746268656716418,0.8059701492537313,9.929855585098268,0.0
spect,3,37,0.8195488721804511,0.7761194029850746,0.8208955223880597,600.5585608482361,0.083333374587455
spect,3,42,0.9022556390977444,0.7014925373134329,0.7014925373134329,94.24910044670104,0.0
spect,3,53,0.8270676691729323,0.746268656716418,0.746268656716418,600.6704833507538,0.3294970722698564
spect,4,37,0.8872180451127819,0.7164179104477612,0.7910447761194029,601.895712852478,0.3999999999999997
spect,4,42,0.9398496240601504,0.7164179104477612,0.6567164179104478,602.0687654018402,0.6249999273586844
spect,4,53,0.8796992481203008,0.7761194029850746,0.7761194029850746,601.6434552669525,0.4314903456565458
spect,5,37,0.924812030075188,0.6865671641791045,0.7014925373134329,605.2380752563477,0.2999995917533409
spect,5,42,0.9398496240601504,0.746268656716418,0.7164179104477612,605.5421595573425,0.7499999710374966
spect,5,53,0.9022556390977444,0.746268656716418,0.7761194029850746,605.9256126880646,0.5595212923415105
tic-tac-toe,2,37,0.7202505219206681,0.694560669456067,0.675,159.2136504650116,0.0
tic-tac-toe,2,42,0.7077244258872651,0.6736401673640168,0.7125,138.4157738685608,0.0
tic-tac-toe,2,53,0.7077244258872651,0.7071129707112971,0.6791666666666667,180.1628725528717,0.0
tic-tac-toe,3,37,0.7536534446764092,0.7447698744769874,0.7083333333333334,601.5572957992554,1.0
tic-tac-toe,3,42,0.7453027139874739,0.7322175732217573,0.7583333333333333,602.3250176906586,1.0
tic-tac-toe,3,53,0.7745302713987474,0.7322175732217573,0.7708333333333334,602.297905921936,1.0
tic-tac-toe,4,37,0.81419624217119,0.799163179916318,0.8166666666666667,605.6317763328552,1.0
tic-tac-toe,4,42,0.7954070981210856,0.7531380753138075,0.825,605.8481559753418,1.0
tic-tac-toe,4,53,0.7995824634655533,0.7489539748953975,0.7625,605.0438885688782,1.0
tic-tac-toe,5,37,0.8559498956158664,0.8326359832635983,0.8125,629.4825010299683,1.0
tic-tac-toe,5,42,0.8580375782881002,0.8200836820083682,0.7916666666666666,618.8465006351471,1.0
tic-tac-toe,5,53,0.8580375782881002,0.7824267782426778,0.7833333333333333,617.0963134765625,1.0
monks-1,2,37,0.6906474820143885,0.5755395683453237,0.6474820143884892,3.4014892578125,0.0
monks-1,2,42,0.7913669064748201,0.7482014388489209,0.762589928057554,4.54936671257019,0.0
monks-1,2,53,0.8093525179856115,0.7841726618705036,0.7050359712230215,2.9206364154815674,0.0
monks-1,3,37,0.8525179856115108,0.7985611510791367,0.8561151079136691,600.5185284614563,0.7465966693488422
monks-1,3,42,0.8525179856115108,0.8705035971223022,0.8273381294964028,539.6730034351349,0.0
monks-1,3,53,0.8525179856115108,0.8633093525179856,0.8345323741007195,286.8803479671478,0.0
monks-1,4,37,0.8345323741007195,0.8489208633093526,0.8848920863309353,601.4544382095337,1.0
