instance,depth,seed,train_acc,val_acc,test_acc,train_time,gap
breast-cancer,5,37,0.7101449275362319,0.6666666666666666,0.6571428571428571,1203.0921263694763,1.0
breast-cancer,5,42,0.8188405797101449,0.6811594202898551,0.6571428571428571,1203.437982082367,1.0
breast-cancer,5,53,0.5,0.34782608695652173,0.38571428571428573,1203.5128684043884,1.0
car-evaluation,2,37,0.7951388888888888,0.7662037037037037,0.7546296296296297,10.15673828125,0.0
car-evaluation,2,42,0.7511574074074074,0.8009259259259259,0.7731481481481481,25.813984632492065,0.0
car-evaluation,2,53,0.78125,0.7453703703703703,0.7685185185185185,14.829872608184814,0.0
car-evaluation,3,37,0.8252314814814815,0.7962962962962963,0.7754629629629629,1202.2350552082062,0.814558349740469
car-evaluation,3,42,0.7546296296296297,0.7824074074074074,0.7638888888888888,1201.4477128982544,0.8972118902451541
car-evaluation,3,53,0.8171296296296297,0.8148148148148148,0.8194444444444444,1201.8295838832855,0.7648092256407947
car-evaluation,4,37,0.8645833333333334,0.8726851851851852,0.8472222222222222,1203.6653242111206,1.0
car-evaluation,4,42,0.8321759259259259,0.8611111111111112,0.8379629629629629,1203.2259788513184,1.0
car-evaluation,4,53,0.8645833333333334,0.8657407407407407,0.8587962962962963,1203.488644361496,1.0
car-evaluation,5,37,0.8912037037037037,0.8703703703703703,0.8472222222222222,1208.3941612243652,1.0
car-evaluation,5,42,0.8402777777777778,0.8541666666666666,0.8425925925925926,1209.214187860489,1.0
car-evaluation,5,53,0.7650462962962963,0.7569444444444444,0.7546296296296297,1211.351671218872,1.0
hayes-roth,2,37,0.65,0.475,0.65,2.103224515914917,0.0
hayes-roth,2,42,0.4875,0.4,0.45,2.4111292362213135,0.0
hayes-roth,2,53,0.675,0.625,0.55,2.6695516109466553,0.0
hayes-roth,3,37,0.7,0.7,0.575,1201.8161759376526,0.4736841400150401
hayes-roth,3,42,0.85,0.575,0.8,281.03241205215454,0.0
hayes-roth,3,53,0.8,0.675,0.725,747.8261659145355,0.0
hayes-roth,4,37,0.4875,0.275,0.55,1201.8807849884033,1.0
hayes-roth,4,42,0.9,0.575,0.8,1200.8314754962921,1.0
hayes-roth,4,53,0.6,0.65,0.575,1201.2610342502594,1.0
hayes-roth,5,37,0.4875,0.35,0.525,1202.8683636188507,1.0
hayes-roth,5,42,0.725,0.5,0.65,1201.4049129486084,1.0
