instance,depth,alpha,seed,train_acc,val_acc,test_acc,train_time,gap
breast-cancer,5,0.1,37,0.717391304347826,0.7101449275362319,0.6857142857142857,4.347377061843872,0.0
breast-cancer,5,0,42,0.927536231884058,0.6521739130434783,0.7571428571428571,1200.4618003368378,0.07812499719238525
breast-cancer,5,0.01,42,0.855072463768116,0.7101449275362319,0.7142857142857143,1200.267792224884,0.2008144140123848
breast-cancer,5,0.1,42,0.6956521739130435,0.6811594202898551,0.7571428571428571,6.42734432220459,0.0
breast-cancer,5,0,53,0.9202898550724637,0.7246376811594203,0.6857142857142857,1200.4850714206696,0.08661416792958501
breast-cancer,5,0.01,53,0.8115942028985508,0.7536231884057971,0.6714285714285714,1200.2622208595276,0.2107582155314834
breast-cancer,5,0.1,53,0.7391304347826086,0.7536231884057971,0.6,3.7260384559631348,0.0
car-evaluation,2,0,37,0.7951388888888888,0.7662037037037037,0.7546296296296297,16.6113440990448,0.0
car-evaluation,2,0.01,37,0.7951388888888888,0.7662037037037037,0.7546296296296297,26.91315722465515,0.0
car-evaluation,2,0.1,37,0.6851851851851852,0.7430555555555556,0.6875,9.187804698944092,0.0
car-evaluation,2,0,42,0.7511574074074074,0.8009259259259259,0.7731481481481481,46.1746039390564,0.0
car-evaluation,2,0.01,42,0.7511574074074074,0.8009259259259259,0.7731481481481481,77.4336359500885,0.0
car-evaluation,2,0.1,42,0.6875,0.7129629629629629,0.7129629629629629,8.62600326538086,0.0
car-evaluation,2,0,53,0.78125,0.7453703703703703,0.7685185185185185,21.630183458328247,0.0
car-evaluation,2,0.01,53,0.78125,0.7453703703703703,0.7685185185185185,51.020007610321045,0.0
car-evaluation,2,0.1,53,0.7106481481481481,0.6967592592592593,0.6828703703703703,8.063597202301025,0.0
car-evaluation,3,0,37,0.8217592592592593,0.8055555555555556,0.7962962962962963,1200.0815999507904,0.1001329745031727
car-evaluation,3,0.01,37,0.8182870370370371,0.7939814814814815,0.7916666666666666,1200.0924007892609,0.08600725851248184
car-evaluation,3,0.1,37,0.6851851851851852,0.7430555555555556,0.6875,61.679301023483276,0.0
car-evaluation,3,0,42,0.7939814814814815,0.8333333333333334,0.8009259259259259,1200.273496389389,0.13565426170469802
car-evaluation,3,0.01,42,0.7962962962962963,0.8101851851851852,0.8194444444444444,1200.0571541786194,0.11541391154332502
