instance,method,depth,alpha,seed,train_acc,val_acc,test_acc,train_time,gap
balance-scale,rb,3,0,45,0.6816239316239316,,0.6815286624203821,6.510608673095703,0.0
balance-scale,cp,3,0,45,0.6816239316239316,,0.6815286624203821,15.669619083404541,0.0
balance-scale,n,3,0.01,45,0.6826923076923077,0.5961538461538461,0.6751592356687898,3.2181308269500732,0.0
balance-scale,rb,3,0.01,45,0.6794871794871795,,0.6878980891719745,6.3709235191345215,0.0
balance-scale,cp,3,0.01,45,0.6794871794871795,,0.6878980891719745,18.040841341018677,0.0
balance-scale,n,3,0.1,45,0.6698717948717948,0.6987179487179487,0.6878980891719745,1.9184226989746094,0.0
balance-scale,rb,3,0.1,45,0.6794871794871795,,0.6878980891719745,5.381610870361328,0.0
balance-scale,cp,3,0.1,45,0.6794871794871795,,0.6878980891719745,9.858181715011597,0.0
balance-scale,n,3,0,56,0.7307692307692307,0.6474358974358975,0.6178343949044586,1.326009750366211,0.0
balance-scale,rb,3,0,56,0.7029914529914529,,0.6178343949044586,4.828740835189819,0.0
balance-scale,cp,3,0,56,0.7029914529914529,,0.6178343949044586,18.2572500705719,0.0
balance-scale,n,3,0.01,56,0.7307692307692307,0.6474358974358975,0.6178343949044586,2.4180636405944824,0.0
balance-scale,rb,3,0.01,56,0.7029914529914529,,0.6178343949044586,6.289724826812744,0.0
balance-scale,cp,3,0.01,56,0.7029914529914529,,0.6178343949044586,17.38943910598755,0.0
balance-scale,n,3,0.1,56,0.7211538461538461,0.6666666666666666,0.6178343949044586,1.8507170677185059,0.0
balance-scale,rb,3,0.1,56,0.7029914529914529,,0.6178343949044586,3.8770699501037598,0.0
balance-scale,cp,3,0.1,56,0.7029914529914529,,0.6178343949044586,10.289162874221802,0.0
balance-scale,n,3,0,67,0.7467948717948718,0.6025641025641025,0.6305732484076433,1.2959134578704834,0.0
balance-scale,rb,3,0,67,0.6987179487179487,,0.6305732484076433,6.2651848793029785,0.0
balance-scale,cp,3,0,67,0.6987179487179487,,0.5987261146496815,15.31383228302002,0.0
balance-scale,n,3,0.01,67,0.7435897435897436,0.6025641025641025,0.6369426751592356,2.8671061992645264,0.0
balance-scale,rb,3,0.01,67,0.6965811965811965,,0.6369426751592356,5.050039291381836,0.0
balance-scale,cp,3,0.01,67,0.6965811965811965,,0.6369426751592356,18.6351797580719,0.0
balance-scale,n,3,0.1,67,0.7435897435897436,0.6025641025641025,0.6369426751592356,1.565638542175293,0.0
balance-scale,rb,3,0.1,67,0.6965811965811965,,0.6369426751592356,3.58884859085083,0.0
balance-scale,cp,3,0.1,67,0.6965811965811965,,0.6369426751592356,11.08749771118164,0.0
balance-scale,n,3,0,78,0.6955128205128205,0.6730769230769231,0.6624203821656051,2.207976818084717,0.0
balance-scale,rb,3,0,78,0.688034188034188,,0.6624203821656051,7.154189586639404,0.0
balance-scale,cp,3,0,78,0.688034188034188,,0.6624203821656051,20.20285677909851,0.0
balance-scale,n,3,0.01,78,0.6955128205128205,0.6730769230769231,0.6624203821656051,2.845797300338745,0.0
balance-scale,rb,3,0.01,78,0.6794871794871795,,0.6878980891719745,5.805742502212524,0.0
balance-scale,cp,3,0.01,78,0.6837606837606838,,0.6751592356687898,30.54356622695923,0.0
balance-scale,n,3,0.1,78,0.6891025641025641,0.6730769230769231,0.6751592356687898,1.5749492645263672,0.0
balance-scale,rb,3,0.1,78,0.6837606837606838,,0.6751592356687898,4.061113595962524,0.0
balance-scale,cp,3,0.1,78,0.6837606837606838,,0.6751592356687898,9.96303415298462,0.0
balance-scale,n,3,0,89,0.6923076923076923,0.6025641025641025,0.6496815286624203,3.1429522037506104,0.0
balance-scale,rb,3,0,89,0.6773504273504274,,0.6942675159235668,6.574559211730957,0.0
balance-scale,cp,3,0,89,0.6773504273504274,,0.6942675159235668,27.510530471801758,0.0
balance-scale,n,3,0.01,89,0.6923076923076923,0.6025641025641025,0.6496815286624203,3.9845163822174072,0.0
balance-scale,rb,3,0.01,89,0.6752136752136753,,0.7006369426751592,6.129666090011597,0.0
balance-scale,cp,3,0.01,89,0.6752136752136753,,0.7006369426751592,15.93236255645752,0.0
balance-scale,n,3,0.1,89,0.6730769230769231,0.6794871794871795,0.7006369426751592,2.4758336544036865,0.0
balance-scale,rb,3,0.1,89,0.6752136752136753,,0.7006369426751592,3.963813066482544,0.0
balance-scale,cp,3,0.1,89,0.6752136752136753,,0.7006369426751592,12.229034423828125,0.0
balance-scale,n,3,0,93,0.6955128205128205,0.6538461538461539,0.6496815286624203,2.345041036605835,0.0
balance-scale,rb,3,0,93,0.6965811965811965,,0.6369426751592356,5.744368076324463,0.0
balance-scale,cp,3,0,93,0.6965811965811965,,0.6369426751592356,12.123044967651367,0.0
balance-scale,n,3,0.01,93,0.6955128205128205,0.6538461538461539,0.6496815286624203,3.278163433074951,0.0
balance-scale,rb,3,0.01,93,0.6965811965811965,,0.6369426751592356,5.86554217338562,0.0
balance-scale,cp,3,0.01,93,0.6965811965811965,,0.6369426751592356,25.27531623840332,0.0
balance-scale,n,3,0.1,93,0.6891025641025641,0.6923076923076923,0.6560509554140127,2.334749698638916,0.0
balance-scale,rb,3,0.1,93,0.6901709401709402,,0.6560509554140127,4.342994689941406,0.0
balance-scale,cp,3,0.1,93,0.6901709401709402,,0.6560509554140127,12.447091579437256,0.0
balance-scale,n,3,0,5,0.6826923076923077,0.6987179487179487,0.6624203821656051,2.762077569961548,0.0
balance-scale,rb,3,0,5,0.6923076923076923,,0.6496815286624203,5.777275085449219,0.0
balance-scale,cp,3,0,5,0.6923076923076923,,0.6496815286624203,13.219078779220581,0.0
balance-scale,n,3,0.01,5,0.6826923076923077,0.6987179487179487,0.6624203821656051,2.9156599044799805,0.0
balance-scale,rb,3,0.01,5,0.688034188034188,,0.6624203821656051,6.003337621688843,0.0
balance-scale,cp,3,0.01,5,0.688034188034188,,0.6624203821656051,18.70082688331604,0.0
balance-scale,n,3,0.1,5,0.6826923076923077,0.6987179487179487,0.6624203821656051,1.9198024272918701,0.0
balance-scale,rb,3,0.1,5,0.688034188034188,,0.6624203821656051,3.638218879699707,0.0
balance-scale,cp,3,0.1,5,0.688034188034188,,0.6624203821656051,9.144238471984863,0.0
breast-cancer,n,3,0,11,0.7971014492753623,0.6956521739130435,0.7857142857142857,7.180562973022461,0.0
breast-cancer,rb,3,0,11,0.7729468599033816,,0.7857142857142857,9.039950370788574,0.0
breast-cancer,cp,3,0,11,0.7729468599033816,,0.7857142857142857,12.375040769577026,0.0
breast-cancer,n,3,0.01,11,0.7971014492753623,0.6956521739130435,0.7857142857142857,6.150273561477661,0.0
breast-cancer,rb,3,0.01,11,0.7681159420289855,,0.8,9.531623840332031,0.0
breast-cancer,cp,3,0.01,11,0.7681159420289855,,0.8,14.102452278137207,0.0
breast-cancer,n,3,0.1,11,0.7101449275362319,0.6666666666666666,0.7428571428571429,1.3060362339019775,0.0
breast-cancer,rb,3,0.1,11,0.6956521739130435,,0.7428571428571429,2.1690053939819336,0.0
breast-cancer,cp,3,0.1,11,0.6956521739130435,,0.7428571428571429,3.726642370223999,0.0
breast-cancer,n,3,0,23,0.7898550724637681,0.7681159420289855,0.7142857142857143,3.3258960247039795,0.0
breast-cancer,rb,3,0,23,0.7971014492753623,,0.6571428571428571,9.178068399429321,0.0
breast-cancer,cp,3,0,23,0.7971014492753623,,0.6571428571428571,12.199163675308228,0.0
breast-cancer,n,3,0.01,23,0.7898550724637681,0.7681159420289855,0.7142857142857143,5.780186891555786,0.0
breast-cancer,rb,3,0.01,23,0.7971014492753623,,0.6571428571428571,9.210553407669067,0.0
breast-cancer,cp,3,0.01,23,0.7971014492753623,,0.6571428571428571,14.807145118713379,0.0
breast-cancer,n,3,0.1,23,0.6956521739130435,0.6811594202898551,0.7571428571428571,1.2448346614837646,0.0
breast-cancer,rb,3,0.1,23,0.6908212560386473,,0.7571428571428571,2.0690553188323975,0.0
breast-cancer,cp,3,0.1,23,0.6908212560386473,,0.7571428571428571,4.660098314285278,0.0
breast-cancer,n,3,0,34,0.7971014492753623,0.7101449275362319,0.6857142857142857,4.919012069702148,0.0
breast-cancer,rb,3,0,34,0.7681159420289855,,0.6857142857142857,7.214007139205933,0.0
breast-cancer,cp,3,0,34,0.7681159420289855,,0.7714285714285715,16.49787211418152,0.0
breast-cancer,n,3,0.01,34,0.7971014492753623,0.6956521739130435,0.7571428571428571,7.277171850204468,0.0
breast-cancer,rb,3,0.01,34,0.7681159420289855,,0.7714285714285715,12.788002014160156,0.0
breast-cancer,cp,3,0.01,34,0.7681159420289855,,0.6571428571428571,19.88625931739807,0.0
breast-cancer,n,3,0.1,34,0.717391304347826,0.6086956521739131,0.7857142857142857,2.156973123550415,0.0
