instance,depth,alpha,seed,train_acc,val_acc,test_acc,train_time,gap
hayes-roth,5,0.01,42,0.925,0.65,0.85,602.1886153,0.932539683
hayes-roth,5,0.1,42,0.7625,0.475,0.675,601.9525082,0.785276074
hayes-roth,5,0.0,53,0.8375,0.85,0.725,602.1099246,1.0
hayes-roth,5,0.01,53,0.95,0.725,0.725,601.810596,0.920091324
hayes-roth,5,0.1,53,0.7375,0.725,0.625,601.9342422,0.803468208
house-votes-84,2,0.0,37,0.974137931,0.948275862,0.982758621,10.08404398,0.0
house-votes-84,2,0.01,37,0.974137931,0.948275862,0.982758621,5.491319895,0.0
house-votes-84,2,0.1,37,0.974137931,0.948275862,0.982758621,1.106044054,0.0
house-votes-84,2,0.0,42,0.965517241,0.982758621,0.965517241,5.851359129,0.0
house-votes-84,2,0.01,42,0.965517241,0.982758621,0.965517241,8.072332382,0.0
house-votes-84,2,0.1,42,0.965517241,0.982758621,0.965517241,3.769950628,0.0
house-votes-84,2,0.0,53,0.974137931,0.965517241,0.965517241,4.845990181,0.0
house-votes-84,2,0.01,53,0.974137931,0.965517241,0.965517241,7.814142227,0.0
house-votes-84,2,0.1,53,0.974137931,0.965517241,0.965517241,1.502311707,0.0
house-votes-84,3,0.0,37,0.99137931,0.913793103,0.948275862,45.04939866,0.0
house-votes-84,3,0.01,37,0.974137931,0.948275862,0.982758621,82.24405265,0.0
house-votes-84,3,0.1,37,0.974137931,0.948275862,0.982758621,2.842821121,0.0
house-votes-84,3,0.0,42,0.982758621,0.896551724,0.965517241,269.9321747,0.0
house-votes-84,3,0.01,42,0.982758621,0.896551724,0.965517241,85.48504233,0.0
house-votes-84,3,0.1,42,0.965517241,0.982758621,0.965517241,3.012987137,0.0
house-votes-84,3,0.0,53,0.99137931,0.948275862,0.965517241,62.04906964,0.0
house-votes-84,3,0.01,53,0.974137931,0.965517241,0.965517241,112.7390966,0.0
house-votes-84,3,0.1,53,0.974137931,0.965517241,0.965517241,4.05402112,0.0
house-votes-84,4,0.0,37,1.0,0.931034483,0.931034483,89.73800373,0.0
house-votes-84,4,0.01,37,0.99137931,0.931034483,0.982758621,601.6551063,0.176470588
house-votes-84,4,0.1,37,0.974137931,0.948275862,0.982758621,8.620704651,0.0
house-votes-84,4,0.0,42,1.0,0.913793103,0.896551724,48.15616822,0.0
house-votes-84,4,0.01,42,0.982758621,0.896551724,0.965517241,601.6804719,0.316455696
house-votes-84,4,0.1,42,0.965517241,0.982758621,0.965517241,8.701436996,0.0
house-votes-84,4,0.0,53,1.0,0.913793103,0.948275862,24.73075151,0.0
house-votes-84,4,0.01,53,0.974137931,0.965517241,0.965517241,601.490474,0.308738353
house-votes-84,4,0.1,53,0.974137931,0.965517241,0.965517241,3.960848808,0.0
house-votes-84,5,0.0,37,1.0,0.931034483,0.931034483,64.92084312,0.0
house-votes-84,5,0.01,37,0.99137931,0.931034483,0.982758621,603.5253718,0.470588235
house-votes-84,5,0.1,37,0.974137931,0.948275862,0.982758621,34.19210386,0.0
house-votes-84,5,0.0,42,1.0,0.931034483,0.931034483,114.7840967,0.0
house-votes-84,5,0.01,42,0.982758621,0.896551724,0.965517241,605.3575342,0.670886076
house-votes-84,5,0.1,42,0.965517241,0.982758621,0.965517241,19.52244496,0.0
house-votes-84,5,0.0,53,1.0,0.879310345,0.948275862,137.4450204,0.0
house-votes-84,5,0.01,53,0.974137931,0.965517241,0.965517241,603.409456,0.493074792
house-votes-84,5,0.1,53,0.974137931,0.965517241,0.965517241,12.38775611,0.0
soybean-small,2,0.0,37,1.0,1.0,1.0,1.404792547,0.0
soybean-small,2,0.01,37,1.0,0.75,0.916666667,2.196866512,0.0
